area_type,availability,size,society,total_sqft,bath,balcony,price,site_location,crime_rate,essential_services_nearby
Super built-up  Area,18-Nov,1 RK,Bhe 2ko,510,1.0,0.0,25.25,Fergusson College Road,0.041592572431307984,school
Super built-up  Area,18-May,3 BHK,,1250,3.0,2.0,56.0,Ganesh Peth,0.17299515278969158,hospital
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,660,1.0,1.0,23.1,Ganeshkhind,0.6856298716949581,school
Built-up  Area,20-Dec,3 BHK,,1610,3.0,2.0,81.0,Ghorpade Peth,0.5404734243085464,hospital
Super built-up  Area,17-Oct,2 BHK,ViistLa,1151,2.0,2.0,48.77,other,0.6780743410296238,hospital
Super built-up  Area,Ready To Move,3 BHK,KBityo ,1025,2.0,1.0,47.0,Gokhale Nagar,0.4635593287042574,hospital
Super built-up  Area,19-Dec,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,Gultekdi,0.7771206409728482,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2.0,1.0,35.0,Guruwar peth,0.683603562537074,school
Super built-up  Area,Ready To Move,3 BHK,Mahosya,1760,2.0,2.0,123.0,Hadapsar,0.7039803123113743,school
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,Hadapsar Industrial Estate,0.3538682627052563,school
Built-up  Area,Ready To Move,3 BHK,Kantsce,1925,3.0,,125.0,Hingne Khurd,0.44683066635590396,hospital
Super built-up  Area,21-Dec,2 BHK,PrarePa,700,2.0,1.0,36.0,Jangali Maharaj Road,0.142035476326134,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1070,2.0,1.0,45.5,Kalyani Nagar,0.3136030114959736,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Dieldli,1724,3.0,2.0,125.0,Karve Nagar,0.8730796502130986,school
Super built-up  Area,Ready To Move,3 BHK,,1290,2.0,2.0,56.12,Karve Road,0.7588476522908141,school
Built-up  Area,Ready To Move,2 BHK,,1143,2.0,2.0,45.0,Kasba Peth,0.7469053400938224,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,Gentson,1296,2.0,,81.0,Katraj,0.05002312248945873,school
Super built-up  Area,19-Dec,3 BHK,Soini T,1254,3.0,2.0,38.0,Khadaki,0.10516418155860541,school
Super built-up  Area,Ready To Move,1 BHK,Ceove G,600,1.0,0.0,38.0,Khadki,0.31240210690635273,school
Plot  Area,Ready To Move,1 Bedroom,,660,1.0,0.0,48.0,Kharadi,0.8068633111804955,school
Super built-up  Area,19-Sep,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,Kondhwa,0.13384167301396976,school
Plot  Area,Ready To Move,8 Bedroom,,600,9.0,,200.0,Kondhwa Budruk,0.0036466348726562625,school
Super built-up  Area,Ready To Move,2 BHK,LancyRe,970,2.0,0.0,33.0,Kondhwa Khurd,0.5243854076488246,hospital
Super built-up  Area,20-Sep,2 BHK,Goted U,1459,2.0,1.0,94.82,Koregaon Park,0.5004383064944202,petrol_pumps
Plot  Area,Ready To Move,2 Bedroom,,800,1.0,1.0,130.0,Kothrud,0.2858700458323582,hospital
Built-up  Area,Ready To Move,2 BHK,,869,2.0,1.0,36.0,Law College Road,0.6499990497295655,hospital
Super built-up  Area,Ready To Move,2 BHK,Bhncyis,1270,2.0,1.0,50.0,Laxmi Road,0.8129394837322519,school
Super built-up  Area,18-Mar,3 BHK,Rosha I,1670,3.0,1.0,99.0,Lulla Nagar,0.9335828131327635,school
Built-up  Area,Ready To Move,3 BHK,Suent V,2010,3.0,2.0,91.0,Mahatma Gandhi Road,0.8034412663024185,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,RothaVa,1185,2.0,2.0,75.0,Mangalwar peth,0.7996655882744994,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,NCowsar,1600,2.0,3.0,75.0,Manik Bagh,0.30859505578846025,school
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,Market yard,0.29166317067794945,hospital
Built-up  Area,20-Feb,4 Bedroom,BrereAt,3010 - 3410,,,192.0,Model colony,0.8162612413179088,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,PeBayle,1500,2.0,2.0,185.0,Mukund Nagar,0.8892413041864543,hospital
Plot  Area,Ready To Move,6 Bedroom,,1407,4.0,1.0,150.0,Mundhawa,0.25794261623029957,hospital
Super built-up  Area,Ready To Move,2 BHK,,840,2.0,2.0,45.0,Nagar Road,0.32173398333457526,hospital
Plot  Area,Ready To Move,3 Bedroom,,4395,3.0,2.0,240.0,Nana Peth,0.0355290647219384,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Laavevi,845,2.0,1.0,55.0,Narayan Peth,0.8930028065364289,school
Plot  Area,Ready To Move,4 Bedroom,Chranya,5700,5.0,3.0,650.0,Narayangaon,0.35729777478831914,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,HioraTr,1160,2.0,2.0,44.0,Navi Peth,0.960332100585239,school
Built-up  Area,Ready To Move,8 Bedroom,,3000,8.0,0.0,140.0,Padmavati,0.754780409154777,school
Super built-up  Area,Ready To Move,2 BHK,,1100,2.0,1.0,62.0,Parvati Darshan,0.6283363455068237,school
Super built-up  Area,18-Apr,2 BHK,BMineis,1140,2.0,3.0,43.0,Pashan,0.43377367042107196,hospital
Super built-up  Area,Ready To Move,2 BHK,,1220,2.0,1.0,57.0,Paud Road,0.16778508976669626,hospital
Plot  Area,Ready To Move,8 Bedroom,,1350,7.0,0.0,85.0,Pirangut,0.06171337480953598,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1005,2.0,1.0,36.68,Prabhat Road,0.6157574546666474,school
Plot  Area,Ready To Move,3 Bedroom,,500,3.0,2.0,100.0,Pune Railway Station,0.4998947628322895,school
Super built-up  Area,20-Aug,2 BHK,Pruthg ,1358,2.0,1.0,80.58,Rasta Peth,0.5650096514007081,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Sonosty,1569,3.0,1.0,101.0,Raviwar Peth,0.09314350770064306,petrol_pumps
Super built-up  Area,18-Apr,2 BHK,SNnia E,1240,2.0,1.0,70.0,Sadashiv Peth,0.05073193215151439,school
Super built-up  Area,Ready To Move,3 BHK,Anavi B,2089,3.0,2.0,140.0,Sahakar Nagar,0.042127636353904596,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1206,2.0,1.0,48.23,Salunke Vihar,0.4188811853443235,school
Super built-up  Area,Ready To Move,2 BHK,,1150,2.0,3.0,40.0,Sasson Road,0.8767757384514497,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,Viony H,2511,3.0,3.0,205.0,Satara Road,0.10579355282212144,hospital
Built-up  Area,Ready To Move,2 BHK,,460,1.0,0.0,22.0,Senapati Bapat Road,0.669419592273829,petrol_pumps
Built-up  Area,Ready To Move,6 Bedroom,,4400,6.0,3.0,250.0,Shaniwar Peth,0.5445590617877161,hospital
Super built-up  Area,Ready To Move,3 BHK,AdentEl,1660,2.0,2.0,105.0,Shivaji Nagar,0.4234483440241559,petrol_pumps
Built-up  Area,18-Oct,4 Bedroom,Gollela,2957 - 3450,,,224.5,Shukrawar Peth,0.27506035238629645,school
Super built-up  Area,19-Mar,2 BHK,Niareum,1326,2.0,2.0,78.0,Sinhagad Road,0.8877652227849961,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1325,2.0,2.0,60.8,Somwar Peth,0.27465062708941157,school
Super built-up  Area,Ready To Move,3 BHK,SJlynro,1499,5.0,2.0,102.0,Swargate,0.9042394132481065,school
Built-up  Area,Ready To Move,6 Bedroom,,3000,7.0,2.0,210.0,Tilak Road,0.9905008633260367,school
Super built-up  Area,Ready To Move,3 BHK,,1665,3.0,2.0,88.0,Uruli Devachi,0.3677064920840648,petrol_pumps
Super built-up  Area,17-Sep,2 BHK,Tavenew,708,2.0,2.0,37.0,Vadgaon Budruk,0.16831435892741242,school
Super built-up  Area,Ready To Move,2 BHK,Srire S,1060,2.0,2.0,58.06,Wadgaon Sheri,0.9564521698110144,hospital
Plot  Area,Ready To Move,6 Bedroom,,710,6.0,3.0,160.0,Viman Nagar,0.28323544420931324,hospital
Built-up  Area,Ready To Move,2 BHK,Saenti ,1000,2.0,2.0,70.0,Vishrant Wadi,0.9862563058812578,petrol_pumps
Super built-up  Area,18-Dec,2 BHK,,1000,2.0,1.0,28.88,Wagholi,0.29230357830594456,hospital
Super built-up  Area,Ready To Move,3 BHK,,1450,2.0,2.0,70.0,Wakadewadi,0.7849010165170234,hospital
Plot  Area,Ready To Move,4 Bedroom,,1200,4.0,2.0,155.0,Wanowrie,0.49747164511651665,petrol_pumps
Super built-up  Area,17-Aug,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,Warje,0.8510198858740682,hospital
Super built-up  Area,Ready To Move,3 BHK,,1540,3.0,2.0,90.0,Yerawada,0.34898266072852724,hospital
Plot  Area,Ready To Move,4 Bedroom,Goardth,2894,4.0,1.0,245.0,Alandi Road,0.9876129511403645,hospital
Super built-up  Area,Ready To Move,3 BHK,,1330,2.0,1.0,48.0,Ambegaon Budruk,0.4497500973917137,school
Built-up  Area,Ready To Move,2 BHK,,1200,2.0,1.0,65.0,Anandnagar,0.9399009351193227,school
Built-up  Area,Ready To Move,3 Bedroom,,1200,3.0,1.0,90.0,Aundh,0.8533793835964312,school
Super built-up  Area,Ready To Move,3 BHK,IBityin,2502,3.0,3.0,138.0,Aundh Road,0.8881108670894138,hospital
Built-up  Area,Ready To Move,2 BHK,KHityry,650,1.0,1.0,17.0,Balaji Nagar,0.34222074344845765,hospital
Plot  Area,Ready To Move,3 Bedroom,BDensar,2400,2.0,1.0,150.0,Baner,0.47910645169444055,hospital
Super built-up  Area,Ready To Move,2 BHK,Makeser,1007,2.0,2.0,43.0,Baner road,0.7487347025966822,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Maest N,1200,2.0,2.0,50.0,Bhandarkar Road,0.7191549037051135,school
Super built-up  Area,Ready To Move,2 BHK,,966,2.0,2.0,49.9,Bhavani Peth,0.289414194482964,school
Built-up  Area,Ready To Move,3 BHK,,1630,2.0,1.0,98.0,Bibvewadi,0.05058193953095791,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,Brway G,1640,3.0,2.0,229.0,Bopodi,0.08472681750203259,school
Built-up  Area,Ready To Move,2 BHK,,782,2.0,2.0,55.68,Budhwar Peth,0.3670930955509737,school
Super built-up  Area,19-Apr,2 BHK,Oznuean,1260,2.0,2.0,66.78,Bund Garden Road,0.13092092671098854,school
Super built-up  Area,Ready To Move,3 BHK,,1800,3.0,3.0,120.0,Camp,0.9623065301601776,hospital
Super built-up  Area,Ready To Move,3 BHK,Reeroce,1413,2.0,2.0,75.0,Chandan Nagar,0.30106224137178583,hospital
Super built-up  Area,Ready To Move,2 BHK,Sonviik,1116,2.0,1.0,51.91,Dapodi,0.04236347480571723,school
Super built-up  Area,Ready To Move,3 BHK,DSgmax ,1530,2.0,1.0,45.9,Deccan Gymkhana,0.33547724647913046,school
Built-up  Area,Ready To Move,4 Bedroom,,3700,4.0,1.0,225.0,Dehu Road,0.15503420309549087,school
Built-up  Area,Ready To Move,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,Dhankawadi,0.6666634968670884,school
Super built-up  Area,Ready To Move,3 BHK,Vaens G,1540,2.0,3.0,64.0,Dhayari Phata,0.25385545107853225,hospital
Super built-up  Area,18-Dec,3 BHK,,1436,3.0,1.0,74.75,Dhole Patil Road,0.3465391179485706,school
Super built-up  Area,18-Jun,2 BHK,,1100,2.0,2.0,75.0,Erandwane,0.7430364332223981,petrol_pumps
Plot  Area,Ready To Move,2 Bedroom,,276,3.0,3.0,23.0,Fatima Nagar,0.3072439210804613,school
Super built-up  Area,Ready To Move,3 BHK,Moity S,1427,3.0,2.0,120.0,Fergusson College Road,0.4109527915637279,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,HiahsLa,2061,3.0,1.0,200.0,Ganesh Peth,0.939706453081773,petrol_pumps
Super built-up  Area,18-Mar,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,Ganeshkhind,0.7353808440611601,school
Built-up  Area,Ready To Move,4 BHK,,2650,4.0,2.0,150.0,Ghorpade Peth,0.4089800840069867,petrol_pumps
Super built-up  Area,22-Dec,3 BHK,Sabixtt,1282,2.0,2.0,68.52,Ghorpadi,0.5691737243052929,hospital
Built-up  Area,Ready To Move,2 BHK,,1050,2.0,1.0,34.0,Gokhale Nagar,0.6209218726801543,hospital
Built-up  Area,Ready To Move,3 BHK,Sragei ,1600,3.0,2.0,65.0,Gultekdi,0.16801815659859054,petrol_pumps
Super built-up  Area,22-Jan,2 BHK,,945,2.0,1.0,54.0,Guruwar peth,0.6632613928213188,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,SyidaCr,1500,2.0,1.0,78.0,Hadapsar,0.9906468561935756,school
Plot  Area,Ready To Move,7 Bedroom,,950,7.0,0.0,115.0,Hadapsar Industrial Estate,0.9035442535348478,hospital
Built-up  Area,Ready To Move,3 BHK,Jahts H,1870,3.0,3.0,110.0,Hingne Khurd,0.6975484412825717,school
Plot  Area,Ready To Move,3 Bedroom,Inensba,1600,3.0,1.0,75.0,Jangali Maharaj Road,0.22268706566255547,hospital
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,880,1.0,1.0,16.5,Kalyani Nagar,0.8886280394016021,hospital
Plot  Area,Ready To Move,4 Bedroom,,1200,4.0,0.0,210.0,Karve Nagar,0.18065383305381255,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Srier P,1535,3.0,2.0,83.0,Karve Road,0.8003241662701123,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2.0,1.0,57.0,Kasba Peth,0.026533552190658227,hospital
Super built-up  Area,18-Aug,2 BHK,Derdsig,1360,2.0,1.0,65.0,Katraj,0.34852127335979766,petrol_pumps
Super built-up  Area,19-Mar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,Khadaki,0.09539871049864879,hospital
Super built-up  Area,18-May,3 BHK,,1280,3.0,1.0,50.4,Khadki,0.8625969386133528,hospital
Super built-up  Area,19-Jan,3 BHK,TiaksAa,1260,2.0,2.0,85.05,Kharadi,0.6661547235784183,hospital
Built-up  Area,Ready To Move,8 Bedroom,,5000,8.0,,250.0,Kondhwa,0.2565614556253637,hospital
Super built-up  Area,19-Dec,5 BHK,LedorSa,3050,5.0,1.0,213.0,Kondhwa Budruk,0.06246037667359894,school
Super built-up  Area,Ready To Move,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,Kondhwa Khurd,0.4065372983557657,school
Super built-up  Area,Ready To Move,2 BHK,,1000,2.0,1.0,60.0,Koregaon Park,0.10184222092190576,petrol_pumps
Super built-up  Area,17-Jul,2 BHK,ViensRK,1167,2.0,1.0,43.76,Kothrud,0.7263266355330489,school
Super built-up  Area,Ready To Move,7 BHK,,4000,7.0,2.0,225.0,Law College Road,0.188031880646512,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Somumys,1828,3.0,,110.0,Laxmi Road,0.3883117439971009,school
Super built-up  Area,Ready To Move,2 BHK,HoiewLa,890,2.0,1.0,35.0,Lulla Nagar,0.14544823758645786,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Dwity T,1612,3.0,3.0,46.74,Mahatma Gandhi Road,0.756347794139882,petrol_pumps
Plot  Area,Ready To Move,6 Bedroom,,1034,5.0,,185.0,Mangalwar peth,0.030497575916562658,petrol_pumps
Super built-up  Area,19-Apr,3 BHK,Brama P,1710,4.0,2.0,91.31,Manik Bagh,0.6378237932916312,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,VBownre,957,2.0,1.0,58.0,Market yard,0.6195655940870015,hospital
Super built-up  Area,18-May,3 BHK,,1250,2.0,3.0,44.0,Model colony,0.7015221613191388,school
Super built-up  Area,Ready To Move,3 BHK,Betatsi,2795,4.0,,235.0,Mukund Nagar,0.08115441607453344,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Prcan P,1125,2.0,2.0,50.0,Mundhawa,0.521789034106068,petrol_pumps
Super built-up  Area,18-Jul,2 BHK,Sryalan,1020,2.0,1.0,30.6,Nagar Road,0.1685996873121235,hospital
Super built-up  Area,Ready To Move,2 BHK,,1200,2.0,2.0,50.0,Nana Peth,0.8933489835026148,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1735,3.0,3.0,135.0,Narayan Peth,0.7306247956813958,hospital
Super built-up  Area,Ready To Move,3 BHK,G conTh,2050,3.0,1.0,145.0,Narayangaon,0.32257461563810463,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,,3750,4.0,0.0,760.0,Navi Peth,0.6675892844929285,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,,1350,2.0,3.0,48.0,Padmavati,0.7404272198793685,school
Super built-up  Area,18-May,2 BHK,SStusan,1063,2.0,1.0,32.0,Parvati Darshan,0.9226245366010962,hospital
Super built-up  Area,Ready To Move,3 BHK,ETens G,1904,3.0,1.0,150.0,Pashan,0.2591139258843962,hospital
Built-up  Area,Ready To Move,4 Bedroom,,4200,4.0,2.0,420.0,Paud Road,0.7647770774052096,hospital
Super built-up  Area,Ready To Move,3 BHK,Hohnari,2000,3.0,1.0,175.0,Pirangut,0.5377372159375423,school
Super built-up  Area,18-Dec,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,Prabhat Road,0.5336071786235203,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Naods W,1425,2.0,2.0,75.0,Pune Railway Station,0.9291759657847505,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,GMown E,1500,2.0,1.0,64.5,Rasta Peth,0.7129509439206684,hospital
Built-up  Area,Ready To Move,2 BHK,GMown E,1060,2.0,1.0,60.0,Raviwar Peth,0.85570647320493,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,Sancyra,1470,2.0,2.0,70.0,Sadashiv Peth,0.9684572296372281,school
Super built-up  Area,Ready To Move,6 BHK,,1300,6.0,0.0,99.0,Sahakar Nagar,0.9633110548359214,petrol_pumps
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,450,1.0,1.0,11.0,Salunke Vihar,0.3572943469514903,petrol_pumps
Super built-up  Area,18-Apr,2 BHK,Prarkun,1152,2.0,1.0,64.5,Sasson Road,0.11946922960210749,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,GMown E,1350,2.0,1.0,56.0,Satara Road,0.5836014559381211,hospital
Super built-up  Area,Ready To Move,3 BHK,Srshq T,1550,3.0,3.0,65.0,Senapati Bapat Road,0.2318679598244694,petrol_pumps
Plot  Area,Ready To Move,3 Bedroom,,1500,3.0,2.0,100.0,Shaniwar Peth,0.7527716605260403,school
Plot  Area,Ready To Move,5 Bedroom,,600,3.0,2.0,85.0,Shivaji Nagar,0.12128974421223604,school
Plot  Area,Ready To Move,1 Bedroom,,400,1.0,0.0,14.0,Shukrawar Peth,0.9112879550525914,petrol_pumps
Super built-up  Area,Ready To Move,1 BHK,Utntspa,705,1.0,2.0,67.0,Sinhagad Road,0.7807438715711463,hospital
Built-up  Area,Ready To Move,2 BHK,GMown E,770,1.0,1.0,36.0,Somwar Peth,0.17989702540043262,hospital
Super built-up  Area,Ready To Move,2 BHK,Aniona ,1242,2.0,3.0,51.0,Swargate,0.5583165738802801,hospital
Super built-up  Area,Ready To Move,3 BHK,Goateds,1700,3.0,2.0,155.0,Tilak Road,0.25844706672813134,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Soitya ,2144,3.0,2.0,145.0,Uruli Devachi,0.2213591454081265,school
Super built-up  Area,21-Jun,3 BHK,Saahaat,1704,3.0,2.0,110.0,Vadgaon Budruk,0.4401555349591274,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2.0,1.0,52.0,Wadgaon Sheri,0.29038662180523367,school
Plot  Area,Ready To Move,3 Bedroom,,1846,3.0,2.0,300.0,Viman Nagar,0.39860029724562496,school
Super built-up  Area,Ready To Move,2 BHK,,1340,2.0,2.0,55.7,Vishrant Wadi,0.4722793788021188,school
Built-up  Area,Ready To Move,2 BHK,GMown E,1025,2.0,1.0,46.0,Wagholi,0.024741979516192725,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,Wakadewadi,0.3321503751841629,school
Super built-up  Area,Ready To Move,2 BHK,VRave E,1200,2.0,2.0,52.0,Wanowrie,0.41827109540346985,school
Built-up  Area,18-Dec,4 Bedroom,,2250,4.0,1.0,110.0,Warje,0.504906793781513,school
Super built-up  Area,Ready To Move,3 BHK,MaidoPl,1550,2.0,3.0,80.0,Yerawada,0.6324845039895168,hospital
Plot  Area,Ready To Move,4 Bedroom,,1200,5.0,,325.0,Alandi Road,0.2609566253533109,petrol_pumps
Plot  Area,Ready To Move,7 Bedroom,,1800,7.0,1.0,250.0,Ambegaon Budruk,0.8616521510282245,hospital
Super built-up  Area,Ready To Move,2 BHK,Aiitya ,1200,2.0,2.0,60.0,Anandnagar,0.27444119083991114,school
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1327,2.0,2.0,98.0,Aundh,0.08938367338791386,hospital
Super built-up  Area,Ready To Move,2 BHK,,1186,2.0,2.0,58.0,Aundh Road,0.7024525840618034,school
Built-up  Area,Ready To Move,3 Bedroom,,1783,3.0,1.0,115.0,Balaji Nagar,0.10176658488636603,school
Super built-up  Area,Ready To Move,3 BHK,NRosete,1400,3.0,2.0,56.0,Baner,0.5456959276690311,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,980,2.0,1.0,48.0,Baner road,0.774982174688017,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1285,2.0,2.0,82.0,Bhandarkar Road,0.4285176765086167,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,912,2.0,1.0,70.0,Bhavani Peth,0.5273066374204193,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,Sancya ,1225,2.0,2.0,47.6,Bibvewadi,0.7834033566091718,hospital
Super built-up  Area,Ready To Move,2 BHK,,1075,2.0,1.0,53.0,Bopodi,0.9206613183590251,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,MSingco,1260,2.0,2.0,54.0,Budhwar Peth,0.7696427340783422,school
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,1282,2.0,2.0,48.7,Bund Garden Road,0.005387156979988705,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,Camp,0.3073297597461073,hospital
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1359,2.0,1.0,87.0,Chandan Nagar,0.32527656522485016,hospital
Built-up  Area,Ready To Move,2 BHK,,1207,2.0,2.0,43.5,Dapodi,0.6930769867177455,hospital
Plot  Area,Ready To Move,4 Bedroom,,1736,6.0,0.0,190.0,Deccan Gymkhana,0.4796508764272146,school
Super built-up  Area,20-May,4 BHK,,2850,4.0,1.0,428.0,Dehu Road,0.9580289567407189,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Emstael,1595,3.0,2.0,65.0,Dhankawadi,0.38389071571618394,petrol_pumps
Built-up  Area,18-Jun,3 BHK,,1798,3.0,2.0,89.0,Dhayari Phata,0.22288976183327458,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,SNdri N,1475,3.0,2.0,78.29,Dhole Patil Road,0.9790464711490927,school
Super built-up  Area,Ready To Move,3 BHK,HodhiSa,1580,3.0,3.0,100.0,Erandwane,0.4776455739595593,hospital
Super built-up  Area,Ready To Move,2 BHK,Syonyph,1295,2.0,1.0,65.0,Fatima Nagar,0.7591793064964673,hospital
Built-up  Area,Ready To Move,6 Bedroom,,3600,6.0,0.0,141.0,Fergusson College Road,0.24917436460692977,petrol_pumps
Super built-up  Area,Ready To Move,1 BHK,Itvir M,589,1.0,1.0,27.0,Ganesh Peth,0.4188731967503325,hospital
Super built-up  Area,Ready To Move,3 BHK,,1415,3.0,3.0,78.0,Ganeshkhind,0.6331853579540238,petrol_pumps
Super built-up  Area,18-Dec,3 BHK,Klark L,1787,3.0,2.0,98.29,Ghorpade Peth,0.6709158566018937,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Klark L,1787,3.0,2.0,125.0,Ghorpadi,0.42362817247825235,hospital
Super built-up  Area,Ready To Move,3 BHK,Piityra,1475,2.0,3.0,90.0,Gokhale Nagar,0.10900083731028598,hospital
Built-up  Area,Ready To Move,4 BHK,,2000,4.0,1.0,75.5,Gultekdi,0.7280705621761289,hospital
Super built-up  Area,19-Mar,2 BHK,AsastDe,984,2.0,1.0,44.28,Guruwar peth,0.6396393948034289,hospital
